#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
1,Luka Doncic,DAL,7,40.1,13.7,28.0,0.49,4.4,10.9,0.408,3.9,7.3,0.529,4.6,2.4,0.6,7.3,7.9,10.3,1.3,0.4,35.7
2,Damian Lillard,POR,6,41.3,10.3,22.3,0.463,5.8,13.0,0.449,7.8,8.3,0.94,2.2,1.5,0.2,4.2,4.3,10.2,1.0,0.7,34.3
3,Kevin Durant,BRK,12,40.4,12.1,23.5,0.514,2.8,6.8,0.402,7.3,8.4,0.871,3.5,2.6,0.4,8.8,9.2,4.4,1.5,1.6,34.2
4,Donovan Mitchell,UTA,10,34.6,10.5,23.5,0.447,5.0,11.5,0.435,6.3,7.6,0.829,2.8,2.0,0.3,3.9,4.2,5.5,1.1,0.2,32.3
5,Jayson Tatum,BOS,5,37.0,9.4,22.2,0.423,2.8,7.2,0.389,9.0,9.8,0.918,2.6,3.0,0.6,5.2,5.8,4.6,1.2,1.6,30.6
6,Kawhi Leonard,LAC,11,39.2,11.1,19.4,0.573,2.2,5.5,0.393,6.0,6.8,0.88,2.2,2.6,2.0,5.7,7.7,4.4,2.1,0.8,30.4
7,Ja Morant,MEM,5,40.5,11.0,22.6,0.487,2.0,6.2,0.323,6.2,8.0,0.775,3.4,1.8,1.4,3.4,4.8,8.2,0.4,0.0,30.2
8,Giannis Antetokounmpo,MIL,21,38.1,11.9,20.9,0.569,0.6,3.3,0.186,5.8,9.8,0.587,3.0,2.9,2.8,10.0,12.8,5.1,1.0,1.2,30.2
9,Bradley Beal,WAS,5,39.1,11.2,24.6,0.455,1.4,6.4,0.219,6.2,7.2,0.861,4.0,1.2,1.2,5.0,6.2,4.2,0.8,0.6,30.0
10,Nikola Jokic,DEN,10,34.5,11.6,22.8,0.509,2.0,5.3,0.377,4.6,5.5,0.836,2.4,2.3,3.7,7.9,11.6,5.0,0.6,0.9,29.8
11,Trae Young,ATL,16,37.7,9.4,22.4,0.418,2.8,9.0,0.312,7.2,8.4,0.866,4.0,2.2,0.4,2.4,2.8,9.5,1.2,0.0,28.8
12,Joel Embiid,PHI,11,32.4,9.2,17.9,0.513,1.5,3.7,0.39,8.3,9.9,0.835,3.8,3.0,1.5,9.1,10.5,3.4,1.0,1.5,28.1
13,Devin Booker,PHX,22,40.4,9.6,21.5,0.447,2.0,6.2,0.321,6.0,6.7,0.905,3.7,3.5,0.7,5.0,5.6,4.5,0.8,0.2,27.3
14,Paul George,LAC,19,40.9,8.7,19.7,0.441,2.7,8.0,0.336,6.8,8.1,0.844,3.5,3.1,0.9,8.7,9.6,5.4,1.0,0.5,26.9
15,Dillon Brooks,MEM,5,34.9,10.0,19.4,0.515,1.6,4.0,0.4,4.2,5.2,0.808,1.8,3.4,1.0,3.2,4.2,2.2,1.4,0.4,25.8
16,Khris Middleton,MIL,23,40.1,8.6,19.7,0.438,2.6,7.6,0.343,3.7,4.2,0.887,3.2,2.5,1.1,6.5,7.6,5.1,1.5,0.2,23.6
17,LeBron James,LAL,6,37.3,9.0,19.0,0.474,3.0,8.0,0.375,2.3,3.8,0.609,4.2,1.2,1.2,6.0,7.2,8.0,1.5,0.3,23.3
